"S.No.","Site ID","Site Name","State/Circle","H1","H2","ID","IMEI No","Mobile No","I&C Date","Battery","Battery (V)","Temp","Signal (dBm)","Last Communication","Aging"
35,"ST-DELHI-HPSC-011","HPSC_Sector 63 A_2","Delhi","Noida","Noida","ST-DELHI-HPSC-011","866082076610527","5754111158409","2025-09-16","100AH, 0, 0, 0","653.86","0","51","2026-04-21 15:57:05","-24 Seconds Ago"
36,"ST-DELHI-HPSC-065","HPSC_ GGN SECTOR 6 GGN_1","Delhi","Gurgaon","Gurgaon","ST-DELHI-HPSC-065","866082076638882","5754111158633","2025-10-16","100AH , 0, 0, 0","53.00","0","51","2026-04-21 15:57:36","-55 Seconds Ago"
37,"STPL-MUM-OD-M046","Rasauli Chawl","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M046","861919081952722","5754111158830","2025-09-09","0, 0, 0, 0","53.70","0","51","2026-04-21 15:58:06","-85 Seconds Ago"
38,"ST-MAH-OD-0016","VASAICOURT_INDS","Maharashtra","Vasai","Vasai","ST-MAH-OD-0016","861919081957218","5754111158828","2025-09-09","0, 0, 0, 0","53.28","0","51","2026-04-21 15:56:46","-5 Seconds Ago"
39,"STPL-MUM-OD-M212","Fortune Classique","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M212","861919081953589","5754111158827","2025-09-15","0, 0, 0, 0","52.28","0","51","2026-04-21 15:55:37","1 Minutes Ago"
40,"ST-MAH-OD-0015","Walivgaon","Maharashtra","Vasai","Vasai","ST-MAH-OD-0015","861919081975228","5754111158824","2025-09-09","0, 0, 0, 0","52.85","0","55","2026-04-21 15:54:43","1 Minutes Ago"
41,"ST-MAH-OD-0003","Jhalak Residency","Maharashtra","Mumbai","Mumbai","ST-MAH-OD-0003","861919081957200","5754111159207","2025-09-15","0, 0, 0, 0","56.78","0","67","2026-04-20 22:34:29","17 Hours Ago"
42,"ST-MAH-OD-0030","UPPER DEPO","Maharashtra","Pune","Pune","ST-MAH-OD-0030","861919081961475","5754111158832","2025-09-19","0, 0, 0, 0","53.70","0","51","2026-04-21 15:52:59","3 Minutes Ago"
43,"STPL-MUM-OD-M0230","Tiwari House","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M0230","861919082252015","5754111158829","2025-09-03","0, 0, 0, 0","44.78","0","57","2026-04-21 15:55:58","43 Seconds Ago"
44,"MCS-MUM-OD-M229","Shrenik Park","Mumbai","Mumbai","MUMBAI","MCS-MUM-OD-M229","861919081975319","5754111158826","2025-09-16","0, 0, 0, 0","53.00","0","51","2026-04-21 15:54:38","2 Minutes Ago"
45,"ST-MAH-OD-0013","Salawad Palghar","Maharashtra","Vasai","THANE","ST-MAH-OD-0013","861919081952268","5754111158825","2025-09-18","0, 0, 0, 0","63.28","0","65","2026-04-21 15:52:28","4 Minutes Ago"
46,"ST-UPE-HPSC-050","Daheli Sujanpur","UP East","Kanpur","Kanpur","ST-UPE-HPSC-050","861919081952649","5754111158350","2025-09-06","0, 0, 0, 0","51.14","0","51","2026-04-21 15:56:43","-2 Seconds Ago"
47,"ST-UPE-HPSC-053","Daheli Sujanpur-2","UP East","Kanpur","Kanpur","ST-UPE-HPSC-053","861919084346062","5754111158367","2025-09-06","0, 0, 0, 0","51.42","0","51","2026-04-21 15:57:06","-25 Seconds Ago"
48,"ST-UPE-OD-0002","AIJAZ AHEMED HOUSE PARADE","UP East","Kanpur","Kanpur","ST-UPE-OD-0002","861919084338242","5754111158353","2025-09-07","0, 0, 0, 0","52.64","0","51","2026-04-21 15:58:00","-79 Seconds Ago"
49,"ST-MUM-OD-0122","Royal Apartment","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0122","861919084346336","5754111159193","2025-09-20","0, 0, 0, 0","52.64","0","51","2026-04-21 15:55:39","1 Minutes Ago"
50,"ST-MAH-OD-0017","Valpada Dapode Bhiwandi","Maharashtra","Vasai","THANE","ST-MAH-OD-0017","861919084337954","5754111159196","2025-09-14","0, 0, 0, 0","53.00","0","51","2026-04-21 15:52:40","4 Minutes Ago"
51,"ST-MUM-OD-0155","Julekha Apartment","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0155","861919084346773","5754111159197","2025-09-11","0, 0, 0, 0","53.28","0","67","2026-04-21 15:53:56","2 Minutes Ago"
52,"ST-MAH-OD-0007","Sahyadri Mangal Karyalaya","Maharashtra","Vasai","Vasai","ST-MAH-OD-0007","861919084338184","5754111159198","2025-09-08","0, 0, 0, 0","48.85","0","69","2026-04-21 15:54:50","1 Minutes Ago"
53,"ST-MAH-OD-0022","Bibewadi-Chitamani Nagar","Maharashtra","Pune","Pune","ST-MAH-OD-0022","861919084338085","5754111158846","2025-09-08","0, 0, 0, 0","52.71","0","51","2026-04-21 15:54:01","2 Minutes Ago"
54,"ST-MUM-OD-0149","Kamaldip Ind Estate","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0149","861919084334811","5754111158444","2025-09-19","0, 0, 0, 0","53.21","0","51","2026-04-21 15:57:40","-59 Seconds Ago"
55,"ST_MUM_HPSC_0073","GUPTA MOBILES","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0073","861919084336568","5754111158442","2025-09-17","0, 0, 0, 0","52.71","0","53","2026-04-21 15:52:24","4 Minutes Ago"
56,"ST_MUM_HPSC_0041","PRAMOD PANDEY","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0041","861919084333391","5754111158440","2025-09-23","0, 0, 0, 0","53.64","0","51","2026-04-21 15:57:44","-63 Seconds Ago"
57,"STPL-MUM-OD-M052","R S Chemist","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M052","861919084338226","5754111158687","2025-09-08","0, 0, 0, 0","52.57","0","55","2026-04-21 15:57:15","-34 Seconds Ago"
58,"ST-KAR-HPSC-009","Vijay Bldg","Karnataka","Bangalore","Bangalore","ST-KAR-HPSC-009","861919084338457","5754111158562","2025-09-19","0, 0, 0, 0","53.35","0","51","2026-04-21 15:56:43","-2 Seconds Ago"
59,"ST-GUJ-MACRO-004","Begum Pura","Gujrat","Surat","Surat","ST-GUJ-MACRO-004","861919084338168","5754111158448","2025-09-09","0, 0, 0, 0","53.71","0","51","2026-04-21 15:54:50","1 Minutes Ago"
60,"ST-MAH-OD-0009","Yug villa","Maharashtra","Vasai","THANE","ST-MAH-OD-0009","861919084336808","5754111158845","2025-09-14","0, 0, 0, 0","53.57","0","51","2026-04-21 15:57:11","-30 Seconds Ago"
61,"ST_MUM_HPSC_0072","Shah House","Mumbai","Mumbai","MUMBAI","ST-MUM-HPSC-0072","861919084335206","5754111158473","2025-09-22","0, 0, 0, 0","44.64","0","53","2026-04-21 15:57:29","-48 Seconds Ago"
62,"ST_MUM_HPSC_0036","Mohammadiya Masjid","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0036","861919084335875","5754111158450","2025-09-22","0, 0, 0, 0","52.57","0","51","2026-04-21 15:58:02","-81 Seconds Ago"
63,"ST-DELHI-HPSC-021","HPSC_Mithapur Extension_Mithapur","Delhi","Faridabad","Faridabad","ST-DELHI-HPSC-021","866082076631010","5754111171250","2025-09-27","100AH, 0, 0, 0","50.00","0","51","2026-04-21 15:57:13","-32 Seconds Ago"
64,"ST_MUM_HPSC_0104","Bhavesh Bunglow","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0104","867950079198014","5754111158402","2025-09-25","0, 0, 0, 0","53.00","0","51","2026-04-21 15:57:08","-27 Seconds Ago"
65,"ST-UPE-HPSC-008","Becongunj New","UP East","Kanpur","Kanpur","ST-UPE-HPSC-008","866082076647594","5754111158406","2025-09-07","0, 0, 0, 0","53.00","0","51","2026-04-21 15:57:53","-72 Seconds Ago"
66,"STPL-MUM-OD-M090","Priya Wines","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M090","861919084334837","5754111158831","2025-09-08","0, 0, 0, 0","53.00","0","59","2026-04-21 15:58:00","-79 Seconds Ago"
67,"MCS-MUM-OD-M0369","Kanthariya Mansion","Mumbai","Mumbai","MUMBAI","MCS-MUM-OD-M0369","861919084334357","5754111158378","2025-09-18","0, 0, 0, 0","52.00","0","51","2026-04-21 15:53:44","2 Minutes Ago"
68,"ST-DELHI-MACRO-011","Makanpur Colony_1 Sector 62A Noida","Delhi","Noida","Noida","ST-DELHI-MACRO-011","861919084336022","5754111158381","2025-09-10","100Ah, 100Ah, 0, 0","53.64","0","51","2026-04-21 15:56:07","34 Seconds Ago"
69,"ST-UPE-HPSC-054","Panki 2","UP East","Kanpur","Kanpur","ST-UPE-HPSC-054","861919084338002","5754111158351","2025-09-08","0, 0, 0, 0","54.00","0","51","2026-04-21 15:52:24","4 Minutes Ago"
70,"ST-UPE-HPSC-049","Panki","UP East","Kanpur","Kanpur","ST-UPE-HPSC-049","861919084334159","5754111158383","2025-09-08","0, 0, 0, 0","53.71","0","51","2026-04-21 15:57:35","-54 Seconds Ago"
71,"ST-MUM-OD-0144","Sanghvi House","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0144","861919084334696","5754111158338","2025-09-19","0, 0, 0, 0","52.78","0","77","2026-04-21 15:55:54","47 Seconds Ago"
72,"ST-MAH-OD-0011","Arni-BSNL Exch","Maharashtra","Nashik","Nashik","ST-MAH-OD-0011","861919084333813","5754111159194","2025-09-14","100AH","53.35","0","53","2026-04-21 15:54:03","2 Minutes Ago"
73,"ST-MAH-OD-0004","Bitsom","Maharashtra","Vasai","THANE","ST-MAH-OD-0004","861919084333250","5754111158695","2025-09-15","0, 0, 0, 0","52.64","0","51","2026-04-21 15:57:06","-25 Seconds Ago"
74,"STPL-MUM-OD-M003","M. F. Tower","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M003","861919084334894","5754111158336","2025-09-10","0, 0, 0, 0","55.00","0","51","2026-04-21 15:57:53","-72 Seconds Ago"
75,"ST-MAH-OD-0032","Narpoli Octrol Post","Maharashtra","Vasai","THANE","ST-MAH-OD-0032","861919084334134","5754111158705","2025-09-14","0, 0, 0, 0","54.00","0","51","2026-04-21 15:56:16","25 Seconds Ago"
76,"STPL-MUM-IBOD-M004","Magnet mall outdoor","Mumbai","Mumbai","MUMBAI","STPL-MUM-IBOD-M004","861919084335164","5754111158677","2025-09-13","0, 0, 0, 0","52.57","0","51","2026-04-21 15:53:14","3 Minutes Ago"
77,"ST-MAH-OD-0005","Gopal Nagar A&B CHSL","Maharashtra","Vasai","Vasai","ST-MAH-OD-0005","861919084336089","5754111158380","2025-09-08","0, 0, 0, 0","52.71","0","87","2026-04-21 15:53:09","3 Minutes Ago"
78,"STPL-MUM-OD-M210","Azeem Heights","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M210","861919084333672","5754111158699","2025-09-15","0, 0, 0, 0","53.78","0","51","2026-04-21 15:58:15","-94 Seconds Ago"
79,"ST-MUM-OD-0137","Matoshree Bunglow","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0137","861919084334985","5754111158678","2025-09-18","0, 0, 0, 0","52.21","0","51","2026-04-21 15:57:11","-30 Seconds Ago"
80,"STPL-MUM-OD-M198","Vidyadhan CHS","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M198","861919084336527","5754111158724","2025-09-15","0, 0, 0, 0","53.57","0","51","2026-04-21 15:53:08","3 Minutes Ago"
81,"STPL-MUM-OD-M172","SRA-5","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M172","861919084336782","5754111158701","2025-09-03","0, 0, 0, 0","51.35","0","51","2026-04-21 15:55:30","1 Minutes Ago"
82,"STPL-MUM-OD-M0206","Chaudhary Godown","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M0206","861919084334852","5754111158715","2025-09-10","0, 0, 0, 0","53.70","0","51","2026-04-21 15:57:16","-35 Seconds Ago"
83,"STPL-MUM-OD-M135","Mauli Niwas","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M135","861919084338333","5754111158684","2025-09-16","0, 0, 0, 0","53.70","0","51","2026-04-21 15:56:22","19 Seconds Ago"
84,"STPL-MUM-OD-M0237","Om Chanakya","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M0237","861919084334670","5754111158703","2025-09-12","0, 0, 0, 0","54.28","0","51","2026-04-21 15:54:02","2 Minutes Ago"
85,"ST-MAH-OD-0018","PCMC -Old RTO office (Sahu Nagar)","Maharashtra","Pune","Pune","ST-MAH-OD-0018","861919084335917","5754111158683","2025-09-10","0, 0, 0, 0","53.00","0","59","2026-04-21 15:52:50","3 Minutes Ago"
86,"STPL-MUM-OD-M018","Airoli Naka Toilet Maksud Khan House","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M018","861919084335354","5754111158704","2025-09-17","0, 0, 0, 0","53.70","0","63","2026-04-21 15:53:52","2 Minutes Ago"
87,"STPL-MUM-OD-M233","Uttam Niwas","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M233","861919084333946","5754111158706","2025-09-17","0, 0, 0, 0","53.14","0","55","2026-04-21 15:55:59","42 Seconds Ago"
88,"ST-MAH-OD-0023","Chikali-Patil Nagar","Maharashtra","Pune","Pune","ST-MAH-OD-0023","861919084333961","5754111158719","2025-09-09","0, 0, 0, 0","54.14","0","51","2026-04-21 15:55:22","1 Minutes Ago"
89,"ST-MAH-OD-0008","BELAVALI","Maharashtra","Vasai","Vasai","ST-MAH-OD-0008","861919084333987","5754111158680","2025-09-08","0, 0, 0, 0","53.00","0","59","2026-04-21 15:52:16","4 Minutes Ago"
90,"ST-MAH-OD-0021","Murbad-Jain Mandir","Maharashtra","Mumbai","Thana","ST-MAH-OD-0021","861919084334217","5754111158688","2025-10-04","0, 0, 0, 0","53.42","0","59","2026-04-21 15:56:59","-18 Seconds Ago"
91,"ST-MUM-OD-0139","Sanivar Bua Sadan","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0139","861919084332534","5754111158696","2025-09-19","0, 0, 0, 0","49.42","0","51","2026-04-21 15:52:50","3 Minutes Ago"
92,"STPL-MUM-OD-M0232","Sporting Club","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M0232","861919084336600","5754111158681","2025-09-12","0, 0, 0, 0","52.35","0","51","2026-04-21 15:57:20","-39 Seconds Ago"
93,"ST-MUM-OD-0130","ANIRUDDHA DARSHAN","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0130","861919084334605","5754111158689","2025-09-18","0, 0, 0, 0","52.50","0","63","2026-04-21 15:52:56","3 Minutes Ago"
94,"ST-MAH-OD-0025","Aasangaon Shahapur","Maharashtra","Mumbai","Thana","ST-MAH-OD-0025","861919084336709","5754111158709","2025-10-04","0, 0, 0, 0","53.85","0","51","2026-04-21 15:53:09","3 Minutes Ago"
95,"ST-MUM-OD-0143","Shri Darmesh Durbar","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0143","861919084335123","5754111158691","2025-09-19","0, 0, 0, 0","52.92","0","51","2026-04-21 15:57:41","-60 Seconds Ago"
96,"ST-MAH-OD-0019","Nilemore","Maharashtra","Vasai","Vasai","ST-MAH-OD-0019","861919084333334","5754111158679","2025-09-09","0, 0, 0, 0","53.21","0","51","2026-04-21 15:56:21","20 Seconds Ago"
97,"ST-MUM-OD-0105","Sitaram Niwas outdoor","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0105","861919084338473","5754111158690","2025-09-13","0, 0, 0, 0","54.00","0","51","2026-04-21 15:53:40","3 Minutes Ago"
98,"ST-MUM-OD-0133","Zayied Traders","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0133","861919084337871","5754111158702","2025-09-01","0, 0, 0, 0","53.50","0","67","2026-04-21 15:53:10","3 Minutes Ago"
99,"ST-MUM-OD-0141","Karavale Sadan","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0141","861919084332922","5754111158686","2025-09-20","0, 0, 0, 0","49.42","0","51","2026-04-21 15:53:55","2 Minutes Ago"
100,"MCS-MUM-OD-M227","Ashok Jaiswal House","Mumbai","Mumbai","MUMBAI","MCS-MUM-OD-M227","861919084336295","5754111158716","2025-09-19","0, 0, 0, 0","54.14","0","53","2026-04-21 15:53:34","3 Minutes Ago"
101,"ST-MUM-OD-0104","Sultan Shaikh House","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0104","861919084337574","5754111158692","2025-09-06","0, 0, 0, 0","52.57","0","63","2026-04-21 15:57:43","-62 Seconds Ago"
102,"STPL-MUM-OD-M087","Taj Trading","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M087","861919084338358","5754111158700","2025-09-08","0, 0, 0, 0","52.14","0","51","2026-04-21 15:53:00","3 Minutes Ago"
103,"ST-MUM-OD-0140","Shri Krishna Chsl","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0140","861919084346708","5754111158693","2025-09-19","0, 0, 0, 0","53.92","0","51","2026-04-21 15:52:30","4 Minutes Ago"
104,"STPL-MUM-OD-M002","Dagadi Chwal","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M002","861919084334449","5754111158697","2025-09-17","0, 0, 0, 0","52.70","0","51","2026-04-21 15:55:15","1 Minutes Ago"
105,"STPL-MUM-OD-M203","J Walk Fitness Gym","Mumbai","Mumbai","MUMBAI","STPL-MUM-OD-M203","861919084335222","5754111158698","2025-09-02","0, 0, 0, 0","52.57","0","51","2026-04-21 15:53:27","3 Minutes Ago"
106,"ST_MUM_HPSC_0037","KETAN HOUSE","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0037","861919084334191","5754111158757","2025-09-20","0, 0, 0, 0","53.28","0","51","2026-04-21 15:56:29","12 Seconds Ago"
107,"ST-GUJ-MACRO-011","Janta Nagar","Gujrat","Surat","Surat","ST-GUJ-MACRO-011","861919084334233","5754111158283","2025-09-10","0, 0, 0, 0","52.28","0","51","2026-04-21 15:52:35","4 Minutes Ago"
108,"ST-MUM-OD-0126","Bhramha Apartment","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0126","861919084335685","5754111158278","2025-09-19","0, 0, 0, 0","55.21","0","51","2026-04-21 15:56:32","9 Seconds Ago"
109,"ST_MUM_HPSC_0047","Raju Gupta House","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0047","861919084335982","5754111158340","2025-09-21","0, 0, 0, 0","52.71","0","51","2026-04-21 15:55:32","1 Minutes Ago"
110,"ST-MUM-OD-0185","Crystal Tower","Mumbai","Mumbai","MUMBAI","ST-MUM-OD-0185","861919084334290","5754111158369","2025-09-16","0, 0, 0, 0","53.21","0","81","2026-04-21 15:54:38","2 Minutes Ago"
111,"ST_MUM_HPSC_0058","Babu Bhai House","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0058","861919084338010","5754111158282","2025-09-18","0, 0, 0, 0","52.78","0","85","2026-04-21 15:57:15","-34 Seconds Ago"
