Global ID,Site Name,State/Circle,District,Cluster,Alarm On-Site,Alarm Start Time,Alarm End Time,Duration (HH:MM:SS),Battery Start Volt,Battery End Volt,Temp.,IMEI,Site Running ON,Energy Start Time,Energy End Time,Acknowledge
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,16-03-2026 15:47,16-03-2026 15:59,00:11:47,54.67,48.84,0,'866082076631002,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 14:56,16-03-2026 14:56,00:00:13,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 14:44,16-03-2026 14:45,00:00:50,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 14:38,16-03-2026 14:38,00:00:17,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 14:34,16-03-2026 14:37,00:03:22,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-DELHI-HPSC-264,HPSC_BALLABGARH SECTOR 1 FBD_4,Delhi,Faridabad,Faridabad,L LVD Cut,16-03-2026 14:33,16-03-2026 14:38,00:05:03,654.36,49.4,0,'861919084308849,SOEB,16-03-2026 14:31,16-03-2026 14:35,-
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 14:33,16-03-2026 14:33,00:00:28,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,16-03-2026 13:46,17-03-2026 07:09,17:22:46,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-MAH-OD-0044,Naregaon Chilkalthana,Maharashtra,Vasai,Vasai,L LVD Cut,16-03-2026 12:54,16-03-2026 12:57,00:02:36,48.21,1.92,0,'861919084258986,SOBT,16-03-2026 12:36,16-03-2026 12:56,"Level-1, Status-DIALING, Number-9975740528; Level-2, Status-DIALING, Number-9823982397"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,16-03-2026 10:56,16-03-2026 11:19,00:23:04,50.56,49.02,0,'866082076631002,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,16-03-2026 10:45,16-03-2026 13:25,02:39:49,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-MAH-OD-0044,Naregaon Chilkalthana,Maharashtra,Vasai,Vasai,L LVD Cut,16-03-2026 10:31,16-03-2026 11:41,01:10:00,5.57,0.85,0,'861919084258986,SOBT,16-03-2026 05:29,16-03-2026 11:42,"Level-1, Status-BUSY, Number-9975740528; Level-2, Status-BUSY, Number-9823982397"
ST_MUM_HPSC_0065,Panduranga Kadu Bunglow,Mumbai,Mumbai,MUMBAI,Mains Failed,16-03-2026 05:57,Alarm is Active,-,0,-,0,'867950079194625,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-7208501421; Level-2, Status-DIALING, Number-8097618466"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,16-03-2026 03:52,16-03-2026 03:55,00:02:58,0,0,0,'861919084310183,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,16-03-2026 03:31,16-03-2026 03:38,00:07:07,0,0,0,'861919084310183,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,16-03-2026 01:16,16-03-2026 08:43,07:27:04,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST_MUM_HPSC_051,Sadan Height,Mumbai,Mumbai,MUMBAI,Mains Failed,16-03-2026 01:07,17-03-2026 09:44,32:37:00,0,0,0,'866082076645986,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-8097618466"
ST-MAH-OD-0065,Nirvaana Residency,Maharashtra,RAIGAD,PUNE-3,L LVD Cut,15-03-2026 23:57,17-03-2026 12:55,36:57:34,1.64,54.64,0,'865510082839855,SOEB,15-03-2026 16:46,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,15-03-2026 22:16,15-03-2026 22:18,00:02:16,54.59,54.59,0,'866082076631002,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,15-03-2026 21:47,16-03-2026 01:14,03:27:35,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,15-03-2026 21:41,15-03-2026 21:44,00:03:06,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,15-03-2026 20:04,15-03-2026 21:35,01:30:18,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,15-03-2026 18:23,15-03-2026 19:54,01:31:05,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-MAH-OD-0058,Bandshil,Maharashtra,RAIGAD,PUNE-3,L LVD Cut,15-03-2026 18:06,15-03-2026 18:08,00:02:34,10.28,8.85,0,'865510082912504,SOEB,15-03-2026 17:55,15-03-2026 18:08,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-MAH-OD-0058,Bandshil,Maharashtra,RAIGAD,PUNE-3,L LVD Cut,15-03-2026 18:05,15-03-2026 18:05,00:00:13,10.78,10.78,0,'865510082912504,SOEB,15-03-2026 17:55,15-03-2026 18:08,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-MAH-OD-0058,Bandshil,Maharashtra,RAIGAD,PUNE-3,L LVD Cut,15-03-2026 18:04,15-03-2026 18:04,00:00:13,9.42,9.42,0,'865510082912504,SOEB,15-03-2026 17:55,15-03-2026 18:08,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,15-03-2026 14:55,15-03-2026 14:59,00:04:17,51.52,48.73,0,'866082076631002,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,15-03-2026 14:48,15-03-2026 18:17,03:29:01,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-MAH-OD-0065,Nirvaana Residency,Maharashtra,RAIGAD,PUNE-3,L LVD Cut,15-03-2026 14:43,15-03-2026 14:44,00:01:52,51.64,48.78,0,'865510082839855,SOBT,15-03-2026 14:42,15-03-2026 14:45,-
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,15-03-2026 13:37,15-03-2026 13:40,00:02:17,54.55,54.55,0,'866082076631002,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-005,HPSC_Sector 37B_Sector 37,Delhi,Delhi,Delhi,Mains Failed,15-03-2026 12:54,17-03-2026 14:23,49:29:27,0,0,0,'867950079197800,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8395061400; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,15-03-2026 10:16,15-03-2026 10:51,00:35:22,0,0,0,'867950079196208,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,15-03-2026 09:34,15-03-2026 10:14,00:40:03,0,0,0,'867950079196208,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-005,HPSC_Sector 37B_Sector 37,Delhi,Delhi,Delhi,Mains Failed,15-03-2026 08:11,15-03-2026 12:33,04:22:25,0,0,0,'867950079197800,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8395061400; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,15-03-2026 06:09,15-03-2026 06:58,00:49:00,0,0,0,'867950079196208,SOEB,15-03-2026 00:00,16-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-MAH-OD-0048,AaradhyamSociety,Maharashtra,Pune,Pune,L LVD Cut,15-03-2026 00:24,15-03-2026 00:27,00:03:15,45.14,1.64,0,'865510082847569,SOBT,15-03-2026 00:22,15-03-2026 00:26,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-MAH-OD-0048,AaradhyamSociety,Maharashtra,Pune,Pune,L LVD Cut,15-03-2026 00:07,15-03-2026 00:09,00:02:12,45.71,46.5,0,'865510082847569,SOBT,15-03-2026 00:00,15-03-2026 00:08,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-MAH-OD-0048,AaradhyamSociety,Maharashtra,Pune,Pune,L LVD Cut,14-03-2026 20:47,14-03-2026 23:41,02:53:47,45.57,4.14,0,'865510082847569,SOBT,14-03-2026 17:58,14-03-2026 23:45,"Level-1, Status-No.Block by Server, Number-9975894886; Level-2, Status-No.Block by Server, Number-8888806810"
ST-MAH-OD-0036,BoradeBankarWastiMoshi,Maharashtra,Pune,Pune,L LVD Cut,14-03-2026 20:24,14-03-2026 21:30,01:06:27,47.57,54.78,0,'861919084260586,SOBT,14-03-2026 16:54,14-03-2026 21:30,"Level-1, Status-DIALING, Number-9975894886; Level-2, Status-DIALING, Number-9975894886"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,14-03-2026 19:14,15-03-2026 14:43,19:29:38,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-DIALING, Number-8448102503; Level-2, Status-DIALING, Number-8395061400"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,14-03-2026 18:51,14-03-2026 19:01,00:10:43,54.6,48.74,0,'866082076631002,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9717185678; Level-2, Status-DIALING, Number-8395061400"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,14-03-2026 18:12,14-03-2026 18:13,00:01:02,54.6,54.6,0,'866082076631002,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9717185678; Level-2, Status-DIALING, Number-8395061400"
ST-MAH-OD-0060,Singhaga Collage vadgaon,Maharashtra,Pune,Pune,L LVD Cut,14-03-2026 15:40,14-03-2026 15:41,00:00:32,49.78,50.28,0,'865510081316350,SOEB,14-03-2026 15:37,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9823982397; Level-2, Status-DIALING, Number-8888806810"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,14-03-2026 14:26,14-03-2026 14:29,00:03:37,50.55,50.55,0,'866082076631002,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9717185678; Level-2, Status-DIALING, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,14-03-2026 13:58,14-03-2026 19:06,05:07:31,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-NO DIALTONE, Number-8448102503; Level-2, Status-NO DIALTONE, Number-8395061400"
ST-DELHI-HPSC-169,HPSC_Badshahpur,Delhi,Delhi,Delhi,Fiber cut,14-03-2026 10:34,14-03-2026 13:35,03:00:44,53,53,0,'861919084304632,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8395061400; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,14-03-2026 10:15,14-03-2026 13:51,03:35:48,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,14-03-2026 10:03,14-03-2026 11:40,01:36:55,0,0,0,'861919084310183,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,14-03-2026 08:06,14-03-2026 08:50,00:43:31,0,0,0,'861919084310183,SOEB,14-03-2026 00:00,15-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,14-03-2026 01:05,14-03-2026 09:49,08:44:14,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST_MUM_HPSC_0065,Panduranga Kadu Bunglow,Mumbai,Mumbai,MUMBAI,Mains Failed,13-03-2026 23:26,16-03-2026 05:53,54:27:09,0,0,0,'867950079194625,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-DIALING, Number-7208501421; Level-2, Status-DIALING, Number-8097618466"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,13-03-2026 22:29,13-03-2026 22:33,00:03:20,0,0,0,'861919084310183,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,13-03-2026 21:19,13-03-2026 21:23,00:03:13,0,0,0,'861919084310183,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST_MUM_HPSC_0065,Panduranga Kadu Bunglow,Mumbai,Mumbai,MUMBAI,Mains Failed,13-03-2026 20:39,13-03-2026 23:13,02:33:39,0,0,0,'867950079194625,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-NO DIALTONE, Number-7208501421; Level-2, Status-No.Block by Server, Number-8097618466"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,13-03-2026 20:21,13-03-2026 20:26,00:05:31,0,0,0,'867950079196208,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-262,HPSC_GBD_Gharoli_Khora_Colony,Delhi,North Delhi,North Delhi,Mains Failed,13-03-2026 20:13,14-03-2026 01:01,04:48:22,0,0,0,'866082076649947,SOEB,-,-,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,13-03-2026 17:12,13-03-2026 17:46,00:33:50,0,0,0,'867950079196208,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,13-03-2026 16:57,13-03-2026 17:19,00:22:42,50.6,49.3,0,'866082076631002,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,13-03-2026 16:22,13-03-2026 16:31,00:09:00,54.67,52.24,0,'866082076631002,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,13-03-2026 16:05,13-03-2026 17:11,01:06:10,0,0,0,'867950079196208,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-DELHI-MACRO-008,HPSC_Sadatpur_Seelam_Pur_3,Delhi,Delhi,Delhi,Mains Failed,13-03-2026 15:22,13-03-2026 15:47,00:25:18,0,0,0,'867950079196208,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-HPSC-232,HPSC_Zaildar Enclave_Hastsal_1,Delhi,Delhi,Delhi,L LVD Cut,13-03-2026 15:12,14-03-2026 13:32,22:20:37,52.9,52.9,0,'861919084309466,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-DIALING, Number-9315997041; Level-2, Status-DIALING, Number-8395061400"
ST-KAR-MACRO-022,Murugeswari Bldg,Karnataka,Bangalore,Bangalore,L LVD Cut,13-03-2026 12:42,13-03-2026 13:07,00:25:09,47.3,47.3,0,'867950079195226,SOEB,13-03-2026 11:44,14-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-KAR-MACRO-022,Murugeswari Bldg,Karnataka,Bangalore,Bangalore,L LVD Cut,13-03-2026 12:16,13-03-2026 12:17,00:00:29,47.87,47.87,0,'867950079195226,SOEB,13-03-2026 11:44,14-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,13-03-2026 12:11,13-03-2026 12:18,00:07:19,50.38,50.38,0,'866082076631002,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-KAR-MACRO-022,Murugeswari Bldg,Karnataka,Bangalore,Bangalore,L LVD Cut,13-03-2026 11:59,13-03-2026 12:04,00:05:21,40.13,0,0,'867950079195226,SOEB,13-03-2026 11:44,14-03-2026 00:00,"Level-1, Status-NO DIALTONE, Number-9483795832; Level-2, Status-NO DIALTONE, Number-9483795832"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,13-03-2026 11:23,13-03-2026 11:54,00:31:09,54.58,49.96,0,'866082076631002,SOEB,13-03-2026 00:00,14-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
