Name,Id,Building Type,Description,Created from,Last modified from,Building ID,Wired Status,Building Name,"Building Lat, Long",City,State,Pin Code,Sector/Locality,In Building Wiring mtr,IBW   mtr.,IBW Solution,No. of towers at the Society,No. of tower,No. of Floor/Tower,No.of Shaft,Total No.of Flats on each Floor,Total No of flat Each Tower,Common Basement,Existing hume pipe/Duct,Cable tray length,Common area,Total Home pass,Authority,Contact Person,Contact Number,Other Operator,Other information,CreatedDate,ModifiedDate,CreatedUser,ModifiedUser
d153cc4c-b8c5-432b-b932-49d8d08c8122,c6ed3ff2-ffb5-48c2-9d8c-ae458fc41cae,resdinetial,,Mobile,Mobile,dilbagh rose garden,,dilbagh rose garden,"{""type"":""Point"",""coordinates"":[80.30502570968804,26.464138982010002]}",amaan_st,UTTAR PRADESH,208012,kanpur,na,2,,25,25,14.0,14.0,14.0,25.0,na,,8.0,,2.0,y,pk shukla,7983948270,exitel,na,09/20/2025 07:17:32,09/20/2025 07:17:32,amaan_st,amaan_st
caec35a6-4abd-4970-af4e-87aeab2c1e17,f7d2bf73-50d8-40df-9b3a-9770dca7a34d,HCQCHM_AQUISITION_FTTH,,Mobile,Mobile,na,,Ratan lok apartments,"{""type"":""Point"",""coordinates"":[80.92237,26.7787883]}",,UTTAR PRADESH,226012,Bijnor Road lucknow,1000,500,,4,4,9.0,2.0,7.0,69.0,yes,,500.0,,276.0,,Ramesh kumar,6388353699,na,,09/18/2025 07:03:45,09/18/2025 07:03:45,dipanshu_st,dipanshu_st
a58b75eb-d026-4362-996f-5f9985314728,5c6152d0-3186-4901-bb17-be0e4030e709,Residential,,Mobile,Mobile,na,,Kabir nagar Yojna,"{""type"":""Point"",""coordinates"":[80.8608293,26.8091756]}",,UTTAR PRADESH,226009,,2000,1000,,8,8,19.0,3.0,,,,,,,1520.0,,Shailendra,8009278591,,,09/15/2025 16:56:09,09/15/2025 16:56:09,dipanshu_st,dipanshu_st
a33ec729-47bf-4c3e-aeb2-ef80cc6517c0,76eb9007-49af-42e1-9aba-48d6dbf1aa72,residential,,Mobile,Mobile,na,,,"{""type"":""Point"",""coordinates"":[80.9923433,26.806355]}",,UTTAR PRADESH,226030,,400,600,,1,1,12.0,8.0,14.0,168.0,,,,,168.0,,Priyansh,7007819804,,,09/11/2025 16:09:12,09/11/2025 16:09:12,dipanshu_st,dipanshu_st
8fa1390e-327a-4a8c-b2eb-0e232789dc07,02973249-096f-4c45-b1f6-a0ca0e833c82,residential,,Mobile,Mobile,eldico garden,,eldeco garden,"{""type"":""Point"",""coordinates"":[80.33319127611588,26.458902693558898]}",amaan_st,UTTAR PRADESH,208003,laxmi purawa,na,1112,,18,18,10.0,10.0,25.0,330.0,na,,1.0,,4.0,na,sami,7081271540,yes,na,09/09/2025 15:48:34,09/09/2025 15:48:34,amaan_st,amaan_st
6763b308-7c9b-4280-9eed-1dc170905add,6a000054-a30a-4735-8a97-db8c250fe203,Residential,,Mobile,Mobile,na,,Omega,"{""type"":""Point"",""coordinates"":[81.0735862,26.893943]}",,UTTAR PRADESH,226028,,1000,500,,8,8,,,,,,,,,1700.0,,Shiv Kumar,7234888588,,,09/09/2025 06:37:35,09/09/2025 06:37:35,dipanshu_st,dipanshu_st
e603b3be-95b3-419f-aa98-3004f6e7e9b9,57f89b33-d2e2-4d7a-8c41-cace2e72418b,Residential,,Mobile,Mobile,EH reality,,"Bonheur

 Wakad","{""type"":""Point"",""coordinates"":[73.7755931,18.5703555]}",,MAHARASHTRA,411057,Wakad,75,45,,5,5,14.0,5.0,355.0,75.0,Yes,,50.0,,350.0,Anju Singh,9511614760,9511614760,NO,For FTTH,09/08/2025 10:09:04,09/08/2025 10:09:04,dattatray_st,dattatray_st
dbd3c820-8b48-4c5c-ba97-e15ddb05855f,13e36d49-9272-462f-9b0e-aaeaf1a43ce5,Residential,,Mobile,Mobile,na,,Shiva Greens,"{""type"":""Point"",""coordinates"":[80.970982,26.751231]}",,UTTAR PRADESH,226301,vrinda van yojna,200,500,,3,3,11.0,3.0,8.0,,,,,,90.0,,Ashwani Tiwari,7405211122,,,09/07/2025 14:21:40,09/07/2025 14:21:40,dipanshu_st,dipanshu_st
35856115-e60e-4493-8006-61ac701ee2d6,4079659f-8501-4a39-b9c2-8d339de53137,Residential,,Mobile,Mobile,na,,BCC Daffodils,"{""type"":""Point"",""coordinates"":[80.9708739,26.7513574]}",,UTTAR PRADESH,226301,,500,1000,,3,3,,3.0,,88.0,,,,,264.0,,Kundan,7705004129,,,09/06/2025 16:28:56,09/06/2025 16:28:56,dipanshu_st,dipanshu_st
8319ea3c-fbe8-42e9-848a-a46fd69a49ed,c9d25f9c-9fcb-425c-9486-486e564c958c,Residential,,Mobile,Mobile,STS-UPE-FTTH-015,,BCC Sapphire,"{""type"":""Point"",""coordinates"":[80.9927436,26.8067815]}",sandeep_st,UTTAR PRADESH,226030,Arjunganj,1000,1000,,1,1,12.0,8.0,14.0,168.0,Yes,,100.0,,168.0,Builder,Priyansh Tiwari,917007819804,"Adri,Sikka",,09/06/2025 08:24:56,09/06/2025 08:24:56,sandeep_st,sandeep_st
0abbddd5-4101-4045-ad36-66c7d7ac3469,7e67b9dd-13bb-4dfe-8973-aca8acda78a1,Residential,,Mobile,Mobile,na,,Goverdhan Enclave,"{""type"":""Point"",""coordinates"":[80.960329,26.7394394]}",,UTTAR PRADESH,226301,Awas and vikas paroshad,2000,1000,,8,8,13.0,3.0,,207.0,,,,,1656.0,,Amit Tiwari90,9044219052,na,society not formed building is under awas vikas,09/03/2025 07:00:37,09/03/2025 07:00:37,dipanshu_st,dipanshu_st
88f2ceca-7f29-495f-b026-d148811cac77,26a6ca25-61ba-4998-ac4c-f709b7f217c2,residential,,Mobile,Mobile,na,,Parajit Apartments,"{""type"":""Point"",""coordinates"":[81.0181067,26.873625]}",,UTTAR PRADESH,226010,,1500,1000,,5,5,20.0,2.0,5.0,100.0,,,,,500.0,LDA,Harsh,9453911100,,,09/01/2025 18:16:49,09/01/2025 18:16:49,dipanshu_st,dipanshu_st
5de33dc8-c5b1-4eee-b633-bf49ac86743e,8b8aefd7-2f9e-4529-8487-2851378943d4,Residential,,Mobile,Mobile,na,,Nandini Enclave,"{""type"":""Point"",""coordinates"":[80.9875217,26.7700433]}",,UTTAR PRADESH,226030,Awas vikas yojna ,500,1000,,8,8,6.0,1.0,8.0,68.0,yes,,2000.0,,556.0,Awas vikas,neeraj,9151098921,,,07/28/2025 06:17:00,09/01/2025 11:09:17,dipanshu_st,dipanshu_st
1831f95e-c8b9-4139-a397-73c9fee3d2b9,5e03a1a1-2404-430e-b879-b34368f9618d,Residential,,Mobile,Mobile,na,,Himalaya Enclave phase 1 and 2,"{""type"":""Point"",""coordinates"":[80.9542417,26.7498117]}",,UTTAR PRADESH,226014,vrindavan,800,1000,,7,7,12.0,2.0,,65.0,yes,,500.0,,460.0,awas vikas,Vaibhav awasthi,8887536593,Excitel,,08/29/2025 09:47:43,08/29/2025 09:47:43,dipanshu_st,dipanshu_st
3921fc4f-16f6-433e-a150-cd9237d417de,45c954a3-a9da-4d98-9f8a-add392084344,Residential,,Mobile,Mobile,na,,Blue Mountain,"{""type"":""Point"",""coordinates"":[80.9571,26.742305]}",,UTTAR PRADESH,226014,,600,500,,3,3,13.0,3.0,3.0,93.0,yes,,1000.0,,280.0,Builder,Awadesh,8400897676,ACT,,08/29/2025 09:45:38,08/29/2025 09:45:38,dipanshu_st,dipanshu_st
9890d34f-596a-4457-b59a-a914ce02cb1d,83f76034-8cf1-49b7-9816-cc283170af85,Residential,,Mobile,Mobile,na,,Rishita Mulbary Heights,"{""type"":""Point"",""coordinates"":[81.009036,26.7805215]}",,UTTAR PRADESH,226030,,1800,1500,,16,16,15.0,2.0,8.0,92.0,yes,,200.0,,1500.0,Rishita,Rishi,9450523648,na,,08/21/2025 16:43:05,08/21/2025 16:43:05,dipanshu_st,dipanshu_st
dadf4e0d-e5ad-4846-9bb8-db945cbe1d3d,a932e04a-2d1b-4931-a79d-8d6e252205aa,Residential,,Mobile,Mobile,STS-UPE-FTTH-012,,Parijat Apartment,"{""type"":""Point"",""coordinates"":[81.0182228,26.8735589]}",sandeep_st,UTTAR PRADESH,226010,Kamta,1500,1500,,5,5,20.0,2.0,5.0,100.0,No,,0.0,,500.0,LDQ,Harsh Singh,9453911000,ACT,,08/06/2025 10:39:43,08/06/2025 10:39:43,sandeep_st,sandeep_st
ac3c90cc-9c1a-43b5-acee-10cf44815595,ba257f9d-283e-4f40-aa5d-a30873056517,residential,,Mobile,Mobile,shrishti kalpana apartment,,shrishti Kalpana apartment,"{""type"":""Point"",""coordinates"":[80.32400440000004,26.491744399999998]}",amaan_st,UTTAR PRADESH,208002,4/276,na,1,,4,4,6.0,,10.0,24.0,na,,0.0,,1.0,yed,mishra jii,9936837499,na,na,08/04/2025 16:01:17,08/04/2025 16:01:17,amaan_st,amaan_st
81323c0a-726d-4480-8d8b-9cba2f803dd5,6310c988-3c88-4cf2-88b7-3904d3adab6d,tower,,Mobile,Mobile,na,,jhanvi towers,"{""type"":""Point"",""coordinates"":[72.86255250000002,19.41462900000001]}",ganeshk_st,MAHARASHTRA,401208,waliv goav  vasai e,na,0,,2,1,24.0,1.0,6.0,144.0,yes,,0.0,,144.0,owner billder,Jagdish sutar,9822775358,no,na,08/04/2025 10:03:03,08/04/2025 10:03:03,ganeshk_st,ganeshk_st
1c20245e-8a84-422c-8cef-bf628ccded13,40d135d9-155d-499a-8686-c20a48e18e47,Residential,,Mobile,Mobile,STS-UPE-FTTH-010,,Omega Green Park,"{""type"":""Point"",""coordinates"":[81.0735099,26.8940674]}",sandeep_st,UTTAR PRADESH,226028,Anorakala,1500,1500,,5,5,9.0,1.0,6.0,54.0,No,,0.0,,270.0,RWA,Manish Kumar Dubey,7388899643,"RJIO, Adri",,08/02/2025 10:50:03,08/02/2025 10:50:03,sandeep_st,sandeep_st
38de81d4-c377-4901-a281-8ff383ecffdd,a978a521-1511-4db4-9eae-253f5fcc0ebb,Residential,,Mobile,Mobile,STS-UPE-FTTH-011,,Orchid Heights,"{""type"":""Point"",""coordinates"":[81.0731218,26.8952405]}",sandeep_st,UTTAR PRADESH,226028,Anora Kala,1500,1500,,6,6,14.0,1.0,6.0,84.0,Yes,,0.0,,504.0,RWA,Shiv Kumar Srivastava,7985591328,"RJIO, Adri",,08/02/2025 09:00:56,08/02/2025 09:00:56,sandeep_st,sandeep_st
4b1c3ca7-3a4e-4cf1-aaa1-3c4dbdea9c8f,8843e8ab-b9db-44c8-bd8a-f89c653e6223,Residential,,Mobile,Mobile,STS-UPE-FTTH-012,,Windsor Green,"{""type"":""Point"",""coordinates"":[81.0735877,26.8960773]}",sandeep_st,UTTAR PRADESH,226028,Indira Dam,2500,2500,,10,10,14.0,2.0,4.0,64.0,Yes,,,,546.0,Builder,Peush Dogra,8173002401,"RJIO, Adri",,08/02/2025 06:53:30,08/02/2025 06:53:30,sandeep_st,sandeep_st
825c538d-12b7-45f6-8951-1e71a62efe6c,ec7c6b54-f12b-43df-81e5-662c4da186c7,residential,,Mobile,Mobile,na,,Santusti enclave 2,"{""type"":""Point"",""coordinates"":[80.9995868,26.7777833]}",,UTTAR PRADESH,226030,sushant golf city,200,500,,3,3,11.0,1.0,6.0,66.0,yes,,100.0,,198.0,sushant golf city,Ranvijay singh,7706878787,na,,07/29/2025 15:42:16,07/29/2025 15:42:16,dipanshu_st,dipanshu_st
e58710de-5276-4e01-aefc-e79c36b29533,3e303aa2-df3e-4d4f-91d9-678a1a4708e9,residential,,Mobile,Mobile,na,,Gomti enclave,"{""type"":""Point"",""coordinates"":[80.9909474,26.7666334]}",,UTTAR PRADESH,226030,,1000,2000,,8,8,14.0,4.0,16.0,160.0,yes,,500.0,,1536.0,Awas vikas,Keshav,9454075965,na,,07/28/2025 11:12:02,07/28/2025 11:12:02,dipanshu_st,dipanshu_st
f690e333-9d7e-423b-b009-c7282396133c,bcaaa663-ed05-43dc-902a-2797b8418e11,Residential,,Mobile,Mobile,STS-FTTH-UPE-008,,Eiffel Vivassa Estate,"{""type"":""Point"",""coordinates"":[81.0277896,26.7993611]}",sandeep_st,UTTAR PRADESH,226030,Gomti Nagar Extension,2000,2000,,5,5,12.0,2.0,8.0,96.0,No,,,,480.0,Builder,Devemitra Pandey,8318980296,Airtel,,07/26/2025 11:58:45,07/26/2025 11:58:45,sandeep_st,sandeep_st
2444017d-b61f-4c64-975a-71d8c250af53,e84a4b26-2773-4e91-b10f-a954c5f851e2,Hotel,,Mobile,Mobile,STS-FTTH-009,,Tulip 7th Avenue,"{""type"":""Point"",""coordinates"":[81.0108983,26.8055407]}",sandeep_st,UTTAR PRADESH,226030,Gomti Nagar Extension,1000,1000,,2,2,16.0,2.0,264.0,264.0,No,,,,264.0,Builder,Ishwar Chand Srivastava,8707774836,No,,07/26/2025 11:58:21,07/26/2025 11:58:21,sandeep_st,sandeep_st
21293df8-649a-4c0e-8c86-b55d83ccafae,d9f68f0e-6f28-4c48-bb19-d1ff52bafe58,residential,,Mobile,Mobile,shristi apartment,,shristhi apartment,"{""type"":""Point"",""coordinates"":[80.33444910000003,26.48182769999999]}",amaan_st,UTTAR PRADESH,208001,gwaltoli,na,1,,8,8,8.0,14.0,4.0,4.0,na,,,,2.0,na,shivpal,7081271540,na,na,07/22/2025 14:23:15,07/22/2025 14:23:15,amaan_st,amaan_st
1e000589-af99-42f9-8669-5e708afd9e1f,5cfd1395-4e2c-4293-a060-3aef144b7db1,Residential,,Mobile,Mobile,STS-UPE-FTTH-007,,Shree Balaji Towers,"{""type"":""Point"",""coordinates"":[81.0882569,26.896155]}",sandeep_st,UTTAR PRADESH,226010,Anora Kala,1500,1500,,3,3,8.0,6.0,10.0,64.0,No,,0.0,,182.0,RWA,Abhay Kumar,8887834412,Excitel,,07/22/2025 06:53:03,07/22/2025 06:53:03,sandeep_st,sandeep_st
47905827-d2d2-49bd-8303-8e73a2ab27fe,bd14733f-4f40-4bfc-9924-85420b10b8cc,residential,,Mobile,Mobile,na,,Balaji towerd,"{""type"":""Point"",""coordinates"":[81.0881925,26.896337]}",,UTTAR PRADESH,226010,anora kala,200,100,,3,3,8.0,1.0,7.0,58.0,yes,,100.0,,200.0,balaji,abhay,8887834412,exitel,,07/17/2025 06:58:00,07/17/2025 06:58:00,dipanshu_st,dipanshu_st
39fd3470-12d3-44f2-9e52-c7a7635d8bf5,234e08e0-e08b-49f9-b752-c089a0c8f6e1,Residential,,Mobile,Mobile,na,,Antkrish abrial green,"{""type"":""Point"",""coordinates"":[80.9572217,26.7589316]}",,UTTAR PRADESH,226029,vrindavan yojna,no,200,,4,2,12.0,1.0,4.0,106.0,yes,,100.0,,429.0,awas vikas,Rajesh srivastava,7318171456,na,possession starting soon,07/16/2025 17:40:25,07/16/2025 17:40:25,dipanshu_st,dipanshu_st
